id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;
328;Pañales;Huggies;40 unidades;411;524,17;525;658;640,26;789,65;789,65;57,11731072;27;642,80;-0,00395;0,089209332;;
326;Pañales adultos;Readysec;24 unidades;355;525;622;765;742,10;827;925;70,90390969;147;742,13;-0,00004;0,095544892;;
244;Papa Blanca;NA;1 kg.;215;69;75;105;105,54;119;119;7,919711016;4;97,30;0,08464;0,075043472;;
245;Papa Rosada;NA;1 kg.;141;60;69;99;98,51;114;115;8,706741221;8;91,62;0,0752;0,088384266;;
122;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;378;72;72;97;96,31;141;147;12,56895217;7;96,31;-0,00001;0,130507097;;
123;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;219;49;49;61;65,79;73,48;80;9,451526024;20;65,79;0,00002;0,143658794;;
124;Papel higiénico hoja simple;Sin Fin;4 rollos de 50 mts.;390;99;105;134;132,09;159;164;12,12601275;16,5;132,27;-0,00138;0,091802904;;
125;Pasta dental;Colgate Herbal Blanqueador;Unidad 90 grs.;557;59;59;86;83,22;99;105;11,1792157;24;86,00;-0,03234;0,134334788;;
126;Pasta dental;Kolynos Triple acción;Unidad 90 grs.;527;32;35;41;41,84;49,9;65;3,746369859;5;42,32;-0,01127;0,089533216;;
127;Pasta dental;Pico Jenner Plus;Unidad 90 grs.;185;30;31;59;56,10;69,9;75;6,072472554;5;56,10;0,00005;0,108238257;;
128;Peceto vacuno;Sin Marca;1 kg.;144;289;289;397;393,25;489;495;40,18749337;14;392,91;0,00087;0,102192396;;
340;Perfume;Délice;50 ml.;293;529;564;597;617,83;733;733;46,32282097;13;617,72;0,00017;0,074977277;;
341;Perfume;Casapueblo;100 ml.;58;442;442;644,19;617,69;799;799;144,7358972;357;615,03;0,00433;0,234317553;;
129;Pescado fresco;bifes de merluz - sin marca;1 kg.;102;399;399;419;438,77;489;489;29,8924121;50;456,94;-0,03977;0,068127883;;
130;Pollo entero fresco con menudos;Avícola del Oeste;1 kg.;213;123;123;129;142,15;229;229;23,45684;6;180,39;-0,21199;0,165014389;;
132;Pollo entero fresco con menudos;Tres Arroyos;1 kg.;32;129;129;199;176,69;229;229;33,10786704;54;180,66;-0,02196;0,187375003;;
352;Protector solar SPF 20;Dermaglós;250 ml.;225;760;760;882;989,67;1383;1383;209,4132563;177,232;976,29;0;0,211599433;;
354;Protector solar SPF 30;Hawaiian Tropic;180 ml.;149;942;942;942;943,24;1005,33;1005,33;8,298853042;0;943,24;0;0,008798232;;
353;Protector solar SPF 40;Dermaglós;250 ml.;218;630;630;972;1086,84;1524;1524;239,5908303;0;1072,05;0,01379;0,220448164;;
355;Protector solar SPF 50;Eucerin;150 ml;183;1449;1684;1749;1757,82;2105;2105;75,05753663;0;1741,92;0,00913;0,04269923;;
356;Protector solar SPF 60;Soundown;120 ml.;367;535;549;765;794,76;1000;1000;106,6803172;19;794,89;-0,00017;0,134230368;;
357;Protector solar SPF 80;Hawaiian Tropic;240 ml.;271;919;919;942;948,73;1180;1180;36,57970422;0;948,74;-0,00001;0,038556453;;
133;Pulpa de tomate;Conaprole;Envase 1 lt.;552;73;81;100;99,61;116;124;8,263989126;6,9;97,49;0,02177;0,082961435;;
134;Pulpa de tomate;De Ley;Envase 1,020 lt.;398;59;62;79;78,46;89;93;6,695690217;9,9;77,65;0,01041;0,085340678;;
135;Pulpa de tomate;Gourmet;Envase 1 lt.;431;72;75;96;95,98;125;128;11,13118729;16;95,95;0,00028;0,115977871;;
136;Queso rallado;Artesano;Paquete 80 grs.;142;115;115;133;135,47;145;145;8,551198372;14;135,89;-0,00313;0,063124844;;
137;Queso rallado;Conaprole;Paquete 80 grs.;428;81;85;112;112,01;150;160;12,157863;19;110,72;0,01161;0,108547961;;
138;Queso rallado;Milky;Paquete 80 grs.;162;87;91;100;102,75;130;130;6,10333646;5;103,70;-0,00915;0,059399444;;
310;Repelente aerosol;Off!;144 cm3;606;262;275;379;359,29;451;535;37,02144474;51,24;358,90;0,00108;0,103041693;;
314;Repelente aerosol;Júpiter;165 cm3;402;119,9;120;149;148,79;168;189;17,47130941;31;148,60;0,00128;0,117422446;;
315;Repelente aerosol;Off!;165 cm3;489;325;356;469;464,37;510;519;40,02424932;60;464,77;0;0,086190585;;
308;Repelente crema;Off!;200 grs.;528;325;347;486;468,06;545;575;40,89419698;52;469,13;-0,00229;0,087369987;;
312;Repelente crema;Off!;90 grs.;427;276;289;368;365,85;467,33;545;26,78859176;9;366,09;-0,00065;0,073222732;;
313;Repelente crema;Júpiter;80 grs.;274;98;98;200;171,82;200;200;36,02762973;65;171,77;0,00027;0,20968677;;
309;Repelente spray;Off!;165 cm3;407;305;320;520;509,81;695;695;76,47822869;35;501,33;0,01691;0,150014614;;
139;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;19;342;342;386;386,66;425;425;17,37762655;3;385,42;0,00321;0,044943181;;
140;Sal fina yodada fluorada;Sek;Paquete 500 grs.;216;41;41;64;59,60;75;78;7,042234788;11;59,49;0,00188;0,118154592;;
141;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;76;41;41;57;55,43;57;57;4,199659262;0;55,32;0,00202;0,075761771;;
142;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;289;40;40;54;52,34;63;69;4,320081981;5;52,20;0,00262;0,082544233;;
335;Talco;Xanapie;180 grs.;257;84;89;106;105,32;115;131,5;5,236166217;1;105,23;0,00087;0,049715601;;
336;Talco;Xanapie;175 ml.;196;115;119;207;197,78;229;249;26,87264044;13;199,17;-0,007;0,135873182;;
337;Talco;J&J;200 grs.;576;150;150;390;373,18;444,586;467;69,02988048;18;391,70;-0,04727;0,184975209;;
143;Té negro en saquitos;Hornimans;Caja 10 us.;374;40;40;49;47,82;61;64;4,349364386;5;47,78;0,00075;0,090960349;;
144;Té negro en saquitos;La Virginia;Caja 10 us.;265;30;31;35;36,43;45;59;3,366972506;6;36,74;-0,00846;0,092426406;;
145;Té negro en saquitos;President;Caja 10 us.;265;46,2;59;65;65,07;79;82;4,117100989;3;65,07;0,00006;0,063267946;;
342;Tinta;Excellence;1 unidad;365;445;559;727;699,44;795,79;825;53,63255447;42;694,23;0,0075;0,076679736;;
343;Tinta;Issue;1 unidad;286;125;129;189;179,48;206;206;21,08538488;17;177,56;0,01082;0,117479792;;
344;Tinta;Garnier;1 unidad;561;210;249;317;310,06;389;429;33,21378472;22;303,04;0,02315;0,10712227;;
332;Toallitas femeninas;Ladysoft;16 unidades;554;111;111;138,5;141,89;189;192;15,72095838;14;140,99;0,00638;0,110797155;;
333;Toallitas femeninas;Siempre Libre;8 unidades;369;96,9;99;137;131,75;159,07;165;13,67642791;19;136,22;-0,03279;0,103802737;;
253;Tomate Americano;NA;1 kg.;141;104;115;226;219,13;297;318;39,0957318;45;181,05;0,21035;0,17840999;;
254;Tomate Perita;NA;1 kg.;221;120;129;205;214,68;329,9;329,9;31,1442447;36;188,87;0,13665;0,145073884;;
146;Vino tinto común tetrabrick;Faisán;Envase 1 lt.;399;110;116;130;130,26;149;155;5,846561827;9;129,99;0,00205;0,044884757;;
147;Vino tinto común tetrabrick;Santa Teresa Clásico;Envase 1 lt.;431;112;125;141;139,04;155;160;8,597061363;16;142,06;-0,02127;0,06183218;;
148;Vino tinto común tetrabrick;Tango;Envase 1 lt.;125;99;105;109;109,93;129;129;4,830718356;8;109,89;0,00039;0,043942554;;
149;Yerba mate común;Baldo;Paquete1 kg.;590;170;184;185;188,15;240,83;240,83;8,332524435;2;188,03;0,00061;0,044287886;;
150;Yerba mate común;Canarias;Paquete1 kg.;572;170;179;188;194,15;260;260;16,97788635;2;194,47;-0,00163;0,087445895;;
151;Yerba mate común;Del Cebador;Paquete1 kg.;391;139;139;175;170,75;210;222;16,63504295;15;173,81;-0,01761;0,097424099;;
