id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;;;
23;Arvejas en conserva;Nidemar;Lata 300 grs.;66;19;19;32;30,23;37;37;4,728877065;2,99;30,12;0,0036;0,156441958;;;;
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;297;51;52;67;68,46;75;83;4,633846448;3;66,92;0,023;0,067691568;;;;
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;297;51;51;67;65,96;71;73;3,844682426;0,01;66,19;-0,0034;0,058286067;;;;
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;318;198;210;248;249,45;279;296;11,37646981;8;250,31;-0,0034;0,045606292;;;;
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;362;215;223;291;297,37;365;365;21,58662075;16;288,00;0,0325;0,072591245;;;;
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;164;151;156;209;201,85;225;229;13,77068042;20,1;202,77;-0,0045;0,068222331;;;;
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;150;299;299;379;379,90;429;445;23,36453076;11;378,98;0,0024;0,06150197;;;;
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;149;199;219;263;274,28;369;369;29,30655512;43;273,44;0,0031;0,106848196;;;;
31;Cerveza;Patricia;Botella 960 ml.;321;135;135;174;167,20;176;185;11,53936316;1;171,91;-0,0274;0,06903568;;;;
32;Cerveza;Pilsen;Botella 960 ml.;285;122;122;154;149,21;167;167;10,32713796;1;153,25;-0,0264;0,06921297;;;;
33;Cerveza;Zillertal;Botella 1 lt.;323;149;157,96;188;184,25;199;216;9,62665009;7;186,42;-0,0116;0,052246729;;;;
34;Champú;Fructis;Envase 350 ml.;469;213;213;345;326,24;389;404;30,68144746;36;333,41;-0,02;0,094046071;;;;
35;Champú;Sedal;Envase 350 ml.;170;175;179;227;223,51;243;247;15,06360074;19;223,51;0;0,067396196;;;;
36;Champú;Suave;Envase 930 ml.;226;124;129,9;155;159,41;239;279,9;18,30711164;15,9;156,08;0,0213;0,114844876;;;;
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;147;410;425;548;536,86;659;659;49,65161757;66;542,83;-0,011;0,092485032;;;;
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;133;425;425;548,26;564,57;655;660;61,56661754;90;599,31;-0,058;0,10905014;;;;
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;98;299;299;399;389,61;420;420;28,22443363;0;389,63;0;0,072442312;;;;
40;Cocoa;Copacabana;Envase 500 grs.;353;169,9;178;219;224,83;300;300;25,10167906;12;228,99;-0,0182;0,11164578;;;;
