id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.
118;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;284;89;99;116;116,92;139;146;8,332746967;8,5;111,47;0,048935;0,071267745
119;Pan de molde lacteado;Bimbo;Paquete 330 grs.;89;95;95;123;129,75;181;181;18,19177381;15;129,46;0,002209;0,140205742
120;Pan de molde lacteado;Pan Catalán;Paquete 330 grs.;59;70;70;76;77,26;87;87;3,294602546;0;77,26;0;0,042643431
121;Pan flauta;Sin marca;Unidad aprox215 grs.;108;45;45;83;79,35;93;93;12,15088856;0;79,34;0,000178;0,153130291
327;Pañales;Babysec;48 unidades;474;725;849;1079;1060,32;1184,51;1267;69,21288859;7;1038,29;0,021224;0,065275242
328;Pañales;Huggies;40 unidades;379;524,17;525;658;642,83;789,65;789,65;47,49211754;19;646,87;-0,00625;0,073879653
326;Pañales adultos;Readysec;24 unidades;350;525;622;765;741,79;827;925;71,66220859;147;745,04;-0,004361;0,096606703
244;Papa Blanca;NA;1 kg.;136;52;72,39;99;96,94;109;109;9,14160302;13;92,23;0,051041;0,094301525
245;Papa Rosada;NA;1 kg.;142;65;65;89;91,47;109;115;10,1474763;12,9;85,08;0,075036;0,110941395
122;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;358;72;72;92;96,12;141;147;11,27372853;5;96,07;0,000576;0,117282103
123;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;145;49;50;67;65,42;77;80;6,251433701;7,9;65,40;0,000335;0,095553672
124;Papel higiénico hoja simple;Sin Fin;4 rollos de 50 mts.;309;98;99,9;130,02;132,44;165;165;12,83402471;15,5;127,60;0,037938;0,096902783
125;Pasta dental;Colgate Herbal Blanqueador;Unidad 90 grs.;474;59;59;91;85,93;99;105;9,783288191;6;84,65;0,015166;0,113850952
126;Pasta dental;Kolynos Triple acción;Unidad 90 grs.;451;34,9;35;41;42,39;49,9;65;3,502604586;3;42,39;0,000168;0,082619276
127;Pasta dental;Pico Jenner Plus;Unidad 90 grs.;108;35;35,2;55;56,03;69,9;75;5,868631441;5;56,03;0;0,104746764
128;Peceto vacuno;Sin Marca;1 kg.;145;329;329;389;392,75;489;495;36,3573862;14;380,05;0,033425;0,092571122
340;Perfume;Délice;50 ml.;287;529;564;597;617,72;733;733;46,47230803;13;617,70;0,000027;0,075232139
341;Perfume;Casapueblo;100 ml.;57;442;442;629;615,03;799;799;143,9445007;357;605,67;0,015457;0,234045305
129;Pescado fresco;bifes de merluz - sin marca;1 kg.;102;399;399;469;456,94;489;489;28,64247259;0;457,16;-0,000479;0,062683063
130;Pollo entero fresco con menudos;Avícola del Oeste;1 kg.;125;129;129;189;180,25;229;229;23,08053414;20;185,03;-0,025818;0,128046108
