id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
78;AB;Harina trigo común 0000;Primor;Paquete 1 kg.;183;48;48;52,39;55,98;68;69;4,614279896;8,0;56,0070;-0,0005;0,0824
358;AB;Harina trigo común 0000;Tata;Paquete 1 kg.;86;40;40;55,00;54,836;55;55;1,539954155;0,0;54,8260;0,0002;0,0281
360;AB;Harina trigo común 0000;Precio Líder;Paquete 1 kg.;90;45;45;45,00;47,71;59;59;5,532097375;0,0;54,2470;-0,1205;0,116
363;AB;Harina trigo común 0000;Granja La Sonrisa;Paquete 1 kg.;65;53;53;53,00;54,174;59,9;59,9;1,424894235;1,9;54,1740;0;0,0263
364;AB;Harina trigo común 0000;Tienda Inglesa;Paquete 1 kg.;19;49;49;49,00;55,042;74;74;7,982581822;13,0;59,4680;-0,0744;0,145
79;AB;Helado familiar;Conaprole;Envase 1lt.;447;198;224;277,00;273,792;299;337;17,47911158;12,0;282,1220;-0,0295;0,0638
80;AB;Helado familiar;Crufi;Envase 1lt.;295;225;229;279,00;278,309;314;331;27,17173911;45,5;281,1960;-0,0103;0,0976
85;AB;Huevos colorados;El Jefe;Envase 1/2 docena;103;95;99;113,00;114,841;138;138;6,798398464;3,0;114,8410;0;0,0592
86;AB;Huevos colorados;Prodhin;Envase 1/2 docena;309;100;105;121,00;122,265;129;129;3,530661679;5,0;122,2710;0;0,0289
87;AB;Huevos colorados;Super huevo;Envase 1/2 docena;296;95;95;113,00;112,076;127;129;6,748832743;13,0;111,3440;0,0066;0,0602
97;AB;Jamón cocido no artesanal;Cattivelli;1 kg.;31;545;545;632,00;650,177;710;899;50,07862349;50,0;650,5810;-0,0006;0,077
98;AB;Jamón cocido no artesanal;Ottonello;1 kg.;222;530;550;650,00;644,146;690;720;22,62743077;10,0;610,6680;0,0548;0,0351
99;AB;Leonesa;La Constancia;1 kg.;1;430;430;430,00;430;430;430;0;0,0;430,0000;0;0
100;AB;Leonesa;Ottonello;1 kg.;82;415;415;460,00;455,493;540;540;15,47232768;0,0;452,5840;0,0064;0,034
101;AB;Leonesa;Schneck;1 kg.;244;459,39;460;550,00;572,49;620;670;43,00668363;70,0;573,3690;-0,0015;0,0751
102;AB;Manteca;Calcar;Envase 200 grs.;26;61;61;69,00;68,8;75;83;3,735511543;8,0;68,8000;0;0,0543
103;AB;Manteca;Conaprole sin sal;Envase 200 grs.;469;89;89;100,00;103,888;115;115;8,648125199;16,0;104,1580;-0,0026;0,0832
104;AB;Manteca;Kasdorf;Envase 200 grs.;290;81;83;97,00;98,119;108;110;4,782779408;5,0;98,5340;-0,0042;0,0487
105;AB;Margarina;Doriana nueva;Envase 250 grs.;131;68;68;89,00;89,753;120;120;16,87048989;23,0;89,7530;0;0,188
109;AB;Mayonesa común;Hellmans;Envase 500 grs.;428;116;116;178,00;173,495;194;198;17,16176617;21,6;173,0360;0,0027;0,0989
110;AB;Mayonesa común;Uruguay;Envase 500 grs.;412;69,9;79;89,50;91,734;105;121;8,530654747;16,0;91,4900;0,0027;0,093
112;AB;Mermelada de durazno;El Hogar;Envase 500 grs.;121;69;69;89,00;85,573;149;149;18,83557995;20,0;85,6590;-0,001;0,2201
113;AB;Mermelada de durazno;Los Nietitos;Envase 500 grs.;365;98;103,624;120,00;120,555;129;148;4,465530459;1,0;116,7850;0,0323;0,037
114;AB;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;55;259;259;259,00;320,101;449;449;74,83036979;155,0;318,1200;0,0062;0,2338
115;AB;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;131;289;289;309,00;345,122;479;480;60,85251236;94,0;358,6010;-0,0376;0,1763
116;AB;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;160;245;279;315,00;323,313;379;379;17,61951892;9,0;322,8160;0,0015;0,0545
117;AB;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;151;229;249;299,00;299,464;410;410;44,39209384;50,0;298,0260;0,0048;0,1482
118;AB;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;393;99;102;119,00;119,606;144;151;7,593057266;1,0;119,7310;-0,001;0,0635
119;AB;Pan de molde lacteado;Bimbo;Paquete 330 grs.;103;101;101;125,00;127,238;155;162;7,600827292;0,0;127,1720;0,0005;0,0597
120;AB;Pan de molde lacteado;Pan Catalán;Paquete 330 grs.;76;75;75;76,00;77,764;95;95;3,71319871;3,0;77,7640;0;0,0477
121;AB;Pan flauta;Sin marca;Unidad aprox215 grs.;110;45;45;87,00;82,327;97;97;12,06873761;0,0;81,4610;0,0106;0,1466
128;AB;Peceto vacuno;Sin Marca;1 kg.;151;298;319;397,00;401,091;489;495;32,41103565;14,0;397,7560;0,0084;0,0808
129;AB;Pescado fresco;bifes de merluz - sin marca;1 kg.;109;399;399;469,00;458,468;489;489;19,8907241;0,0;458,4680;0;0,0434
130;AB;Pollo entero fresco con menudos;Avícola del Oeste;1 kg.;218;119;119;129,00;143,478;199;229;25,43485452;50,0;140,6660;0,02;0,1773
132;AB;Pollo entero fresco con menudos;Tres Arroyos;1 kg.;31;129;129;147,00;177,74;229;229;33,24203265;60,0;176,8340;0,0051;0,187
133;AB;Pulpa de tomate;Conaprole;Envase 1 lt.;578;73;88;101,00;100,126;110;127;5,110298649;2,0;99,1550;0,0098;0,051
134;AB;Pulpa de tomate;De Ley;Envase 1,020 lt.;423;62;65;78,00;78,801;89;96;5,956082064;4,9;78,6270;0,0022;0,0756
135;AB;Pulpa de tomate;Gourmet;Envase 1 lt.;459;72;75;96,00;96,217;125;125;11,36474912;10,0;96,9590;-0,0077;0,1181
136;AB;Queso rallado;Artesano;Paquete 80 grs.;161;115;115;130,00;132,499;145;145;10,18662833;24,0;132,5460;-0,0004;0,0769
137;AB;Queso rallado;Conaprole;Paquete 80 grs.;454;84,9;92;112,00;112,014;138,5;147,5;10,65231456;19,0;112,0690;-0,0005;0,0951
138;AB;Queso rallado;Milky;Paquete 80 grs.;186;90;95;104,00;106,261;120;130;6,751033773;11,0;106,6910;-0,004;0,0635
139;AB;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;19;362;362;402,00;396,435;425;425;13,38148974;13,0;391,6970;0,0121;0,0338
140;AB;Sal fina yodada fluorada;Sek;Paquete 500 grs.;241;41;41;58,00;58,654;69;78;7,143643659;12,0;58,6580;-0,0001;0,1218
141;AB;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;90;39;39;57,00;53,742;57;57;5,730182452;7,3;53,7420;0;0,1066
142;AB;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;315;40;40;54,00;53,11;59;66;3,885028456;2,0;52,8720;0,0045;0,0732
143;AB;Té negro en saquitos;Hornimans;Caja 10 us.;451;38;38;45,00;46,322;61;64;5,69279265;12,0;47,1810;-0,0182;0,1229
144;AB;Té negro en saquitos;La Virginia;Caja 10 us.;354;30;32;34,00;35,693;42,44;45;2,286511882;2,0;35,6980;-0,0001;0,0641
145;AB;Té negro en saquitos;President;Caja 10 us.;292;53,3;58;66,00;66,336;79;82;3,349421841;3,0;66,3940;-0,0009;0,0505
146;AB;Vino tinto común tetrabrick;Faisán;Envase 1 lt.;422;117;119;129,90;129,786;147;150;4,434982733;2,0;130,1170;-0,0025;0,0342
147;AB;Vino tinto común tetrabrick;Santa Teresa Clásico;Envase 1 lt.;457;114;122;144,00;141,841;156;165;7,269881078;6,1;140,3550;0,0106;0,0513
148;AB;Vino tinto común tetrabrick;Tango;Envase 1 lt.;139;105;105;109,00;109,579;116;117;3,555324848;8,0;109,5790;0;0,0324
149;AB;Yerba mate común;Baldo;Paquete1 kg.;618;169;184;187,00;188,033;240,83;240,83;8,333045592;4,0;188,0370;0;0,0443
150;AB;Yerba mate común;Canarias;Paquete1 kg.;600;179;179;190,00;193,393;260;260;15,98990034;2,0;193,3890;0;0,0827
151;AB;Yerba mate común;Del Cebador;Paquete1 kg.;428;134,9;149;177,00;177,597;210;222;12,90006723;8,0;176,0080;0,009;0,0726
152;AB;Yogur;Calcar;Sachet 1 lt.;287;69;74,9;89,00;88,322;99;101;4,661964831;8,0;89,0640;-0,0083;0,0528
153;AB;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;403;75;75;98,00;93,602;107;111;9,403212418;14,0;96,5940;-0,031;0,1005
154;AB;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;229;68;72;89,90;91,311;103;108;6,549819942;8,0;91,3090;0;0,0717
318;CP;Afeitadora;Gillette;2 unidades;463;379;399;522,00;521,631;596;614;44,19116326;72,0;508,4700;0,0259;0,0847
319;CP;Afeitadora;Xtreme3;1 unidad;543;70;70;109,00;114,68;185;185;30,52834326;25,0;114,6130;0,0006;0,2662
347;CP;Alcohol en gel;Bioset;250 ml.;103;100;100;142,00;134,882;159;159;12,35581853;13,0;134,8820;0;0,0916
346;CP;Alcohol rectificado;Droguería Paysandú;250 ml.;19;77;77;80,00;81,474;92;92;3,769131583;2,0;81,4740;0;0,0463
348;CP;Algodón;Zig Zag Cisne;100 gramos;595;92;97;125,00;132,137;187;187;31,9156596;70,0;130,6750;0,0112;0,2415
34;CP;Champú;Fructis;Envase 350 ml.;566;259;290;335,00;332,705;389;399;17,7496494;20,0;327,6570;0,0154;0,0533
35;CP;Champú;Sedal;Envase 350 ml.;204;179;179,9;227,00;222,782;256;256;14,56744162;19,0;222,7820;0;0,0654
36;CP;Champú;Suave;Envase 930 ml.;295;124;128;164,00;165,972;206;239;11,37329083;9,1;165,4290;0,0033;0,0685
320;CP;Champú;Dove;400 ml.;539;327;350;437,00;431,19;471,231;524;26,2573427;17,0;428,3650;0,0066;0,0609
321;CP;Champú;Pantene;400 ml.;574;362;374,9;439,00;438,79;480;527;25,43360991;21,0;439,4970;-0,0016;0,058
349;CP;Cinta adhesiva;Ready Plast;1 unidad;178;58;58;58,00;59,978;68;72;3,018200056;2,0;59,6570;0,0054;0,0503
331;CP;Colonia + Talco;Bebe & Co;120 ml.;451;403;525;620,00;638,331;719;719;42,38372659;43,0;632,2690;0,0096;0,0664
322;CP;Crema facial;Revitalift;50 ml.;207;1469;1469;1599,00;1568,126;1599;1599;54,95568893;2,0;1568,1260;0;0,035
323;CP;Crema facial;Asepxia;28 grs.;32;265;265;351,71;354,441;370;370;34,16634459;18,3;354,4410;0;0,0964
350;CP;Curitas;Ready Plast;8 unidades;370;30;45;52,00;52,86;69;69;6,43154897;6,0;51,0740;0,035;0,1217
42;CP;Desodorante en aerosol;Axe Musk;Envase 113 grs.;615;149;159;194,00;192,807;210;219;10,73185936;7,1;190,2950;0,0132;0,0557
43;CP;Desodorante en aerosol;Dove Original;Envase 100 grs.;400;169;169;236,00;227,093;258;290;25,73220977;28,0;227,6010;-0,0022;0,1133
44;CP;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;254;169,9;181,9;209,00;210,034;232;248;6,388659851;0,0;204,4080;0,0275;0,0304
351;CP;Gasa estéril;;40 unidades;168;63;83;87,00;86,434;87;87;2,257779933;0,0;86,4340;0;0,0261
339;CP;Jabón de glicerina;Ann Bow;140 grs.;278;65;65;80,00;81,062;100;103;9,106770781;15,1;80,4850;0,0072;0,1123
88;CP;Jabón de tocador;Astral plata;Unidad 125 grs.;662;42;44;63,00;64,945;89;90;11,1790848;17,0;63,5480;0,022;0,1721
89;CP;Jabón de tocador;Palmolive;Unidad 125 grs.;233;29;29;39,00;38,002;53;53;7,753437303;11,1;37,9460;0,0015;0,204
90;CP;Jabón de tocador;Rexona;Unidad 125 grs.;373;42;45;65,00;64,858;75;78;7,531127033;6,0;63,0050;0,0294;0,1161
324;CP;Jabón de tocador;Neutrogena;80 grs.;300;99;99;150,00;144,346;168,42;168,42;14,55663392;13,0;144,4490;-0,0007;0,1008
338;CP;Jabón de tocador;Dove;90 grs.;660;55;58;75,00;76,095;85;98;6,702215895;4,0;76,4790;-0,005;0,0881
327;CP;Pañales;Babysec;48 unidades;573;789;869;1086,00;1064,837;1231,6;1380;75,17957797;81,2;1060,9630;0,0037;0,0706
328;CP;Pañales;Huggies;40 unidades;435;525;525;658,00;642,493;789,65;789,65;43,52184385;26,0;643,9070;-0,0022;0,0677
326;CP;Pañales adultos;Readysec;24 unidades;375;525;622;765,00;735,667;827;925;73,31738008;165,0;740,1480;-0,0061;0,0997
122;CP;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;429;72;72;99,00;100,498;134;147;11,50811811;13,0;100,4760;0,0002;0,1145
123;CP;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;234;49;49;62,00;59,943;75;80;9,304255747;20,0;59,9420;0;0,1552
124;CP;Papel higiénico hoja simple;Sin Fin;4 rollos de 50 mts.;415;95;97;127,90;131,237;160;162;15,02879601;16,5;127,6500;0,0281;0,1145
125;CP;Pasta dental;Colgate Herbal Blanqueador;Unidad 90 grs.;583;54,9;59;82,00;80,323;108,25;109;12,41481067;23,0;84,4240;-0,0486;0,1546
126;CP;Pasta dental;Kolynos Triple acción;Unidad 90 grs.;561;32;36;41,00;42,249;50;65;3,887308922;2,2;42,2160;0,0008;0,092
127;CP;Pasta dental;Pico Jenner Plus;Unidad 90 grs.;199;30;31;59,00;55,809;69,9;75;6,843195631;5,0;55,8090;0;0,1226
340;CP;Perfume;Délice;50 ml.;319;529;539;597,00;622,344;733;733;51,68022614;28,0;622,2770;0,0001;0,083
341;CP;Perfume;Casapueblo;100 ml.;62;442;442;644,19;619,055;799;799;124,6641349;184,0;619,0180;0,0001;0,2014
352;CP;Protector solar SPF 20;Dermaglós;250 ml.;227;760;760;882,00;998,361;1383;1383;196,7446303;0,0;989,3600;0,0091;0,1971
354;CP;Protector solar SPF 30;Hawaiian Tropic;180 ml.;159;951,3;999;1055,00;1054,622;1055;1055;9,451553316;0,0;946,0170;0,1148;0,009
353;CP;Protector solar SPF 40;Dermaglós;250 ml.;220;630;630;1010,00;1127,047;1583;1583;238,7141583;0,0;1087,3560;0,0365;0,2118
355;CP;Protector solar SPF 50;Eucerin;150 ml;186;1449;1749;1749,00;1802,336;2580;2580;137,9834845;0,0;1780,5950;0,0122;0,0766
356;CP;Protector solar SPF 60;Soundown;120 ml.;384;535;549;765,00;776,334;1000;1000;116,7759998;74,0;775,1170;0,0016;0,1504
357;CP;Protector solar SPF 80;Hawaiian Tropic;240 ml.;287;919;919;1055,00;1007,265;1055;1180;60,86803581;110,0;950,0310;0,0602;0,0604
310;CP;Repelente aerosol;Off!;144 cm3;621;279,9;309;379,00;373,326;451;494,23;36,06399705;56,0;359,9200;0,0372;0,0966
314;CP;Repelente aerosol;Júpiter;165 cm3;435;119,9;120;145,00;148,109;168;189;17,48634063;31,0;148,0940;0,0001;0,1181
315;CP;Repelente aerosol;Off!;165 cm3;469;328,9;379;479,00;472,54;527;555;44,93509888;87,2;456,9840;0,034;0,0951
