ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
276;Manzana Granny Smith;;1 kg.;207;49;64;69,9;73,81472324;96;106;9,679575641;14,9;72,32392211;0,020613;0,1311334
277;Manzana Red Deliciosa;;1 kg.;192;26;41;64,9;62,39332719;84;96;9,06661472;10;60,96220232;0,023476;0,145313852
278;Manzana Red Chieff;;1 kg.;4;39;39,84;63;59,23770492;74;74;10,98161746;16,25;58,68376068;0,009439;0,185382224
286;Naranja Navel;;1 kg.;96;28;28;99,9;71,60462913;107,9;107,9;34,58262993;66;_;_;0,4829664
287;Naranja Valencia;;1 kg.;90;20;20;26,9;28,65055272;39,9;54,9;3,529644723;5;28,71612903;-0,002284;0,123196392
308;Repelente crema;Off!;200 grs.;419;199,9;235;275;275,7361057;330;344;18,32289773;17;274,1020742;0,005961;0,066450847
309;Repelente spray;Off!;165 cm3;12;213;213;279;274,8425926;320;320;19,77136907;20;260,056962;0,056855;0,071937064
310;Repelente aerosol;Off!;144 cm3;234;259;281,5;408;373,7115469;415;415;47,69920179;89;370,9440663;0,007461;0,127636414
311;Repelente gel;Explorador;175 grs.;4;83;83;165;151,3;200;200;43,85503856;82;136,4782609;0,108601;0,289854848
312;Repelente crema;Off!;90 grs.;14;189;189;189;200,3036649;226;259;15,67139384;21;222,5173333;-0,099829;0,078238178
313;Repelente crema;JÃºpiter;80 grs.;172;80;85;145;136,9044365;152;152;18,20900833;24;132,865717;0,030397;0,133005247
314;Repelente aerosol;JÃºpiter;165 cm3;266;94,9;116;168;154,9392733;203;203;26,89618802;37;153,1106306;0,011943;0,173591804
315;Repelente aerosol;Off!;165 cm3;10;259;259;279;277,6354839;320;320;15,08356547;20;262,5666667;0,05739;0,054328666
318;Afeitadora;Gillette;2 unidades;302;237;304;406;404,2380159;468;521;37,75229072;28;388,8071564;0,039688;0,093391243
319;Afeitadora;Xtreme3;1 unidad;241;37;56;76;79,43758784;99;102;11,80790901;15;78,00853677;0,018319;0,148643851
320;ChampÃº;Dove;400 ml.;430;218;243;285;279,0222082;320;335;19,6788484;32;269,7665206;0,03431;0,070527893
321;ChampÃº;Pantene;400 ml.;411;169;269,9;325;320,0880316;380,95;382;21,84202783;35;310,5111188;0,030842;0,068237565
322;Crema facial;Revitalift;50 ml.;203;846;846;1278;1210,485819;1353;1489;169,0772265;0;1201,9966;0,007063;0,139677164
323;Crema facial;Asepxia;28 grs.;120;195;222;222;224,7833333;242;242;6,962955926;0;224,7214765;0,000275;0,0309763
324;JabÃ³n de tocador;Neutrogena;80 grs.;179;52;69;116;115,9422127;126;126;9,781436492;0;115,3248915;0,005353;0,084364756
326;PaÃ±ales adultos;Readysec;24 unidades;198;335;369,9;492;490,989047;565;623;35,74495948;27;488,6881769;0,004708;0,072801949
327;PaÃ±ales ;Babysec;48 unidades;324;553;553;662;670,361289;757;757;30,19311567;27;654,5922448;0,02409;0,045040064
328;PaÃ±ales ;Huggies;40 unidades;175;353;383;383;390,464025;455;455;14,11361618;13;389,9794763;0,001242;0,036145753
331;Colonia + Talco;Bebe & Co ;120 ml.;264;254;325;439;435,9797001;501;501;25,00178953;3;436,5500724;-0,001307;0,057346224
332;Toallitas femeninas;Ladysoft;16 unidades;238;33;36;41,5;42,45748612;59;67;5,838570757;8;41,96027103;0,01185;0,137515696
333;Toallitas femeninas;Siempre Libre;8 unidades;340;79,9;83,9;96;95,58225874;122,5;145,5;7,308076189;4;96,23936371;-0,006828;0,076458501
335;Talco;Xanapie;180 grs.;215;35;35;81;75,35494976;94,4;109;11,10566547;10;72,87091503;0,034088;0,147378049
336;Talco;Xanapie;175 ml.;334;99;106;153;149,3917009;181;189;15,00080859;20,5;151,20326;-0,011981;0,100412597
337;Talco;J&J;200 grs.;361;169;206,5;277;286,6451911;357;357;30,02229986;24;287,9040927;-0,004373;0,104736799
338;JabÃ³n de tocador;Dove;90 grs.;449;35;39;50,9;51,32989204;60;60;4,410540407;6;50,32200183;0,020029;0,085925379
339;JabÃ³n de glicerina;Ann Bow;140 grs. ;243;25;30;34,9;43,64773106;72;75;14,57988557;27;43,0946119;0,012835;0,33403536
340;Perfume;DÃ©lice;50 ml.;263;229;229;387;380,1121704;425;443;28,19557018;2;369,1966418;0,029566;0,074176973
341;Perfume;Casapueblo;100 ml.;285;199;199;391;371,3158083;485;485;67,71183207;52;352,6733802;0,05286;0,182356448
342;Tinta ;Excellence;1 unidad;285;245;369;449;430,1266022;469;507;35,82116981;61;447,9541038;-0,039798;0,083280526
343;Tinta ;Issue;1 unidad;126;88;119;139;144,1027808;175;175;13,18981282;0;141,4775219;0,018556;0,091530592
344;Tinta ;Garnier;1 unidad;338;159;159;199;194,0420343;220;220;13,76530482;17,11;198,5986754;-0,022944;0,070939809
