ï»¿id.presentacion;producto;marca;especificacion;n;canasta;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
318;Afeitadora;Gillette;2 unidades;201;0;229;265;372;357,1227048;403;454;39,33675996;59;343,5647597;0,039463;0,110149143
319;Afeitadora;Xtreme3;1 unidad;77;0;37;37;69,5;64,48884319;79,9;79,9;9,764369697;16;64,88893805;-0,006166;0,151411767
320;ChampÃº;Dove;400 ml.;313;0;190;235;276;268,4975893;299;324;17,734377;28;275,3016684;-0,024715;0,066050414
321;ChampÃº;Pantene;400 ml.;302;0;169;225,57;295;288,017003;337,91;340,62;20,83948461;14;289,3821281;-0,004717;0,07235505
322;Crema facial;Revitalift;50 ml.;107;0;846;846;1225;1100,762526;1298;1298;183,2247411;403;1051,959392;0,046393;0,166452561
323;Crema facial;Asepxia;28 grs.;56;0;195;195;221;223,0719424;239;239;5,703710519;2;222,9785714;0,000419;0,025568928
324;JabÃ³n de tocador;Neutrogena;80 grs.;62;0;52;52;124;117,1163601;124;125,14;10,83444469;9;116,266218;0,007312;0,092510087
326;PaÃ±ales adultos;Readysec;24 unidades;102;0;335;345;465;443,7137555;531;540,79;47,68354918;92;437,2936366;0,014681;0,107464663
327;PaÃ±ales ;Babysec;48 unidades;227;0;471,49;471,49;565;582,4356436;690;700;60,75622224;130;614,4620089;-0,052121;0,104314052
328;PaÃ±ales ;Huggies;40 unidades;79;0;353;364,83;381;384,9295848;435;435;11,38160442;0;379,2549811;0,014963;0,029568017
331;Colonia + Talco;Bebe & Co ;120 ml.;176;0;254;307;436;425,5447866;493;502;34,4993827;36;409,6024108;0,038922;0,081071097
332;Toallitas femeninas;Ladysoft;16 unidades;143;0;31;33;41,5;44,27708915;58;58;6,331034238;11;43,57971038;0,016002;0,142986686
333;Toallitas femeninas;Siempre Libre;8 unidades;245;0;70;70;85;85,62756374;110,9;119,5;10,05169071;17;86,44742778;-0,009484;0,117388493
335;Talco;Xanapie;180 grs.;82;0;40;40;66;62,43128781;89;89;11,63568937;10;63,42324815;-0,01564;0,186375931
336;Talco;Xanapie;175 ml.;187;0;99;105;157;153,2996534;201;203,5;24,75797813;33,1;155,2931842;-0,012837;0,161500549
337;Talco;J&J;200 grs.;240;0;130,5;130,5;285;279,2000854;350;364;40,62684076;31;273,8463188;0,01955;0,145511563
338;JabÃ³n de tocador;Dove;90 grs.;327;0;35;39;51;49,53904869;55;60;4,286244218;4,1;48,68366453;0,01757;0,086522538
339;JabÃ³n de glicerina;Ann Bow;140 grs. ;145;0;25;31;55;50,19355001;66;69;9,622624037;13;49,43146062;0,015417;0,19171037
340;Perfume;DÃ©lice;50 ml.;161;0;249;249;385;364,9974186;412,23;435;49,53393617;32;368,8361021;-0,010408;0,135710374
341;Perfume;Casapueblo;100 ml.;161;0;225;226;316;320,2570788;390;399;47,49232988;71;325,8346124;-0,017118;0,148294395
342;Tinta ;Excellence;1 unidad;153;0;334,15;334,15;369;385,1769502;462;513;36,74343089;71;402,8980588;-0,043984;0,095393639
343;Tinta ;Issue;1 unidad;14;0;88;88;129;118,4222222;129;134;14,47670275;14;123,7389034;-0,042967;0,122246505
344;Tinta ;Garnier;1 unidad;206;0;129;145,56;165;173,9260974;249;249;22,95781649;42;177,3075899;-0,019071;0,131997537
