id.presentacion;producto;marca;especificacion;n;min;pmin.1%;median;mean;pmax.99%;max;ee;iqr;ppdm.anterior;var.mens;c.v.
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;177;129;159;189;193,049257;252;282;21,45817295;4;186,3138079;0,0361511;0,111153875
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;340;21,4;29,9;43;41,11879228;47;49;3,837478588;4;40,23943125;0,021853217;0,093326637
16;Arroz blanco;Green Chef;Bolsa 1 kg.;339;18,5;25;39;37,80653884;41;42;3,198338195;3;37,28760872;0,013916959;0,084597487
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;337;29,9;32;42;41,31564158;48;49;3,038610745;2;41,15408456;0,003925662;0,073546256
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;163;17,9;17,9;23,69;23,90492715;30;33;3,779446049;8;23,31498582;0,025303096;0,158103224
19;Arroz blanco;Pony;Bolsa 1 kg.;58;15,9;15,9;31;27,13380763;33;33;5,499024133;10;27,11549296;0,000675432;0,202663195
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;187;15,5;17;22;23,24720374;31,9;31,9;3,714839942;8,1;23,17834708;0,002970732;0,159797281
22;Arvejas en conserva;Cololó;Lata 380 grs.;297;14,5;18,9;33;31,13928246;38;39;4,716789898;4,5;31,07389833;0,00210415;0,151473943
23;Arvejas en conserva;Nidemar;Lata 300 grs.;199;7,9;9;15;15,65456522;20;20;2,315101866;1,9;15,66175816;-0,000459268;0,147886692
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;329;34,9;36;39;41,48332633;45,9;50;3,083090502;6;43,62376504;-0,049065887;0,074321198
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;379;29,9;34;35;35,69121821;45;49;2,400241754;0;40,84817004;-0,126246826;0,067250205
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;323;96;105,4;116;119,0955884;135,5;135,9;7,850139988;15;119,0406697;0,000461344;0,065914616
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;428;115;133;145;149,7335465;166;219,9;8,914980364;14;149,8625846;-0,000861043;0,059538965
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;137;56;61;102;94,12984856;132;135;17,71382007;32;94,12790167; 0,000020683 ;0,188184942
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;178;146;199;250;234,9432018;293;305;25,57202337;51;234,4709044;0,002014312;0,108843428
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;170;129;148;169;168,3865362;197;203;10,21096507;10;168,3567709;0,000176799;0,060640033
31;Cerveza;Patricia;Botella 960 ml.;374;87;93;109,01;114,0968334;133;133;10,19972349;19;113,3858409;0,006270557;0,089395325
32;Cerveza;Pilsen;Botella 960 ml.;373;70;83;93;93,36818652;104;109;3,826837861;5;92,9896973;0,004070228;0,040986529
33;Cerveza;Zillertal;Botella 1 lt.;373;95;104;121;121,0292823;134;136;4,776425249;6;120,2018516;0,006883677;0,039465038
34;Champú;Fructis;Envase 350 ml.;349;115,95;158;205;206,2009013;236;239;16,57221025;22;205,6566389;0,002646462;0,080369243
35;Champú;Sedal;Envase 350 ml.;401;143;148;175;173,8390596;201;205;12,53819041;10;174,2893819;-0,002583762;0,072125277
36;Champú;Suave;Envase 930 ml.;240;130;132;163,9;159,6802096;175;186;9,084238355;10,24;160,055171;-0,002342701;0,056890196
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;182;261;298;332;323,3463084;379;379;16,07104954;23;323,4802804;-0,000414158;0,049702282
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;160;175;235;304;298,2345226;335;335;16,16130973;5;297,9952517;0,000802935;0,054189936
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;157;181,94;199;239;233,5984587;265;329;15,44665967;10;232,2895829;0,005634673;0,066124836
40;Cocoa;Copacabana;Envase 500 grs.;193;102;102;140;136,434819;161;161;12,35451703;10;137,173162;-0,005382562;0,090552523
41;Cocoa;Vascolet;Envase 500 grs.;218;80;91;145;129,7580785;168;168;22,82075502;43;125,9370347;0,030340906;0,175871555
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;295;95;96;135;132,569878;150;163,5;11,55568414;11;132,102745;0,003536134;0,08716674
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;436;113;129;159;157,8656824;178;186;9,124255457;7;157,112042;0,004796834;0,057797587
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;421;78;104;129;127,4210028;147;154;10,21577031;15;128,1927069;-0,006019875;0,080173363
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;375;54,9;64;79;78,09930839;87;90;5,611724272;2;78,34889978;-0,00318564;0,0718537
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;374;56;64;75;76,155278;90;99;5,157316794;4,5;74,85391368;0,017385388;0,067721068
47;Detergente para vajilla;Protergente limón;Envase 1 lt.;240;22;23;39;38,78769339;45;49;3,557457425;0;38,54578998;0,006275741;0,091716138
48;Dulce de leche;Conaprole;Envase 1 kg.;283;133;145;164;168,0000202;194;194;8,050105335;10;166,1048435;0,011409521;0,047917288
49;Dulce de leche;Los Nietitos;Envase 1 kg.;283;104;109;135;129,7280616;160;162;14,18331276;20;134,3662569;-0,034519048;0,109331108
50;Dulce de leche;Manjar;Envase 1 kg.;273;74,9;105,99;124;127,0754467;146,5;146,5;9,232164864;14;125,1114769;0,015697759;0,072651052
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;332;42;43,9;51;50,60462703;59;60;2,721688817;3;50,20319437;0,007996158;0,053783398
52;Fideos secos al huevo;Adria;Paquete 500 grs.;6;47;48,14;51;51,73913043;58;58;3,195630121;2;52,20661157;-0,008954443;0,06176428
53;Fideos secos al huevo;Cololó;Paquete 500 grs.;289;31,9;37,9;52;50,86027758;61;62;4,569822301;5;49,60007603;0,02540725;0,089850518
54;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;313;21,9;33;45;43,90349727;52;66;3,737752737;2;43,26058139;0,014861471;0,085135649
55;Fideos secos semolados;Adria;Paquete 500 grs.;2;19;19;38;30,11320755;38;38;9,451618456;19;28,5;0,056603774;0,313869535
56;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;192;18;26;36;33,98240277;42;44;3,117225838;5;35,47969253;-0,042201317;0,091730589
57;Fideos secos semolados;Puritas;Paquete 500 grs.;4;20;20;24;23,725;26,9;26,9;2,565139182;3,225;23,725;0;0,10811967
58;Frankfurters cortos;Centenario;Paquete 8 us.;310;49;56,76;119;113,9614764;136;164,3;12,33095839;11,1;114,5018387;-0,004719246;0,108202866
59;Frankfurters cortos;Ottonello;Paquete 8 us.;248;45,9;68;100;100,653224;122;123;8,667966126;8;97,97905396;0,027293283;0,086117124
60;Frankfurters cortos;Schneck;Paquete 8 us.;344;109;116;143;140,6510891;155;168,5;6,814595676;4;139,5452616;0,007924508;0,048450358
61;Galletitas al agua;Famosa;Paquete 140 grs.;343;16,9;34;39;39,58357295;45;45;2,38441019;4;39,55424921;0,000741355;0,060237366
62;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;278;20;28,9;36;36,45655942;39,9;41;2,652783251;4;36,12704253;0,009121059;0,072765595
63;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;374;67;72;90;91,50613176;100;104;5,855993452;11;90,74185461;0,008422543;0,06399564
64;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;280;82;89;105;106,4729329;116;116;6,061417673;8;104,1287454;0,022512396;0,056929189
65;Gaseosa tipo cola (env. no ret.);Nix;Botella 1,5 lt.;33;28;28;41;37,95010163;49;49;5,64577102;7;37,69543147;0,006755995;0,148768271
66;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;278;70;75;98;97,78009829;110;113;8,679665045;7;101,8907906;-0,040344101;0,088767195
67;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;278;67;69,02;79;79,66532152;88;93;5,396917608;10;83,3294606;-0,043971712;0,06774488
68;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;241;10,5;18;22;23,35255409;28;30;2,332407755;3;23,29034803;0,002670894;0,099878058
69;Hamburguesas carne vacun;Paty;Paquete2 unidades;150;24;36;50;50,77362422;65;65;5,303969378;7,5;49,95093345;0,016469978;0,104463084
70;Hamburguesas carne vacun;Schneck;Paquete2 unidades;363;41;46,9;57;57,1583587;70;71;4,707404364;4;56,58858456;0,010068712;0,082357235
71;Harina de maíz;Gourmet;Paquete 450 grs.;136;14;14,9;30;26,08708146;35;35;5,39934508;8;24,01290153;0,08637773;0,206973903
72;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;341;25;30;38;36,85665926;39;42,2;2,254249973;4;36,581255;0,007528563;0,061162623
73;Harina de maíz;Puritas;Paquete 450 grs.;330;19,9;23,9;29;29,21583748;35;35;1,999699318;1,1;29,20151783;0,000490374;0,06844573
74;Harina trigo común 000;Cañuelas;Paquete 1 kg.;353;18,03;22,5;32,5;32,82571199;42;44;4,462763067;10;32,22229499;0,018726692;0,135953276
75;Harina trigo común 000;Cololó;Paquete 1 kg.;119;14,9;23,9;36;34,4141544;37;37;3,04672645;2,1;34,27807041; 0,00397 ;0,0885312
76;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;375;25,26;32;43;41,33306933;49;50;6,453291058;14,5;40,63652197;0,01714092;0,156129007
77;Harina trigo común 0000;Cololó;Paquete 1 kg.;247;20;29,9;42;40,91480627;48;49,5;3,62856012;2;38,35909805;0,066625868;0,088685746
78;Harina trigo común 0000;Primor;Paquete 1 kg.;171;19,9;20;42;40,23209901;44,9;46;4,374596685;2;40,00422072;0,005696356;0,108733991
79;Helado familiar;Conaprole;Envase 1lt.;309;154,9;161,2152;170;176,2916099;190;206;9,494798514;19;184,4953487;-0,04446583;0,053858482
80;Helado familiar;Crufi;Envase 1lt.;260;144;158,7;170;168,7856614;209;209;10,72865443;16;174,7976194;-0,03439382;0,063563779
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;374;39;41,74;46;46,27985468;53;56;1,911221953;2;46,44968204;-0,003656158;0,04129706
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;372;21;23;40,5;40,27751006;48;49;3,512739521;4;40,28258644;-0,000126019;0,087213423
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;198;20;25;47;45,07631492;49;50;4,653642139;2;44,05292388;0,023230945;0,103239188
85;Huevos colorados;El Jefe;Envase 1/2 docena;142;28,9;35;51;49,22062427;59;59;4,855303997;0;49,05538233;0,003368477;0,09864369
86;Huevos colorados;Prodhin;Envase 1/2 docena;284;18,5;39;49;47,60979953;53,9;56;3,09766062;3,9;47,43542538;0,003676032;0,065063509
87;Huevos colorados;Super huevo;Envase 1/2 docena;161;31;38;51;50,00309514;54;57;3,587910929;2,1;50,06749797;-0,00128632;0,071753777
88;Jabón de tocador;Astral plata;Unidad 125 grs.;469;20;22,9;41;38,00315994;46;46;5,965496185;5;37,09258431;0,024548724;0,156973688
89;Jabón de tocador;Palmolive;Unidad 125 grs.;4;24;25,64;26;26,5060241;28;28;0,928853135;2;27,02222222;-0,019102727;0,035043096
90;Jabón de tocador;Rexona;Unidad 125 grs.;4;27;28,64;29;30,30120482;34;34;2,245510099;5;30,66666667;-0,011917234;0,074106297
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;332;71;79;100,9;97,87476935;108,5;113;7,430572516;13;97,60480345;0,002765908;0,075919183
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;16;104;104;104;109,1853448;126;126;8,437044248;9;109,1263858;0,000540282;0,07727268
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;424;119;136;155;155,6642801;183;188,5;9,731356466;8,69;156,5070455;-0,00538484;0,062515026
94;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;338;29,9;38;46;46,85850064;52;52;4,170614011;7;46,66591162;0,004126974;0,089004427
95;Jabón para ropa en barra;Nevex;Unidad 200 grs.;296;28,2;29;33;33,69909191;43,9;44,9;3,798270928;3;33,64765429;0,001528713;0,112711373
96;Jabón para ropa en barra;Primor;Unidad 200 grs.;3;17;17;17;18,6097561;23;23;2,674784392;6;19;-0,020539153;0,143730223
97;Jamón cocido no artesanal;Cattivelli;1 kg.;25;344;349;408;414,955848;467,81;467,81;33,90820132;40;416,4764216;-0,003651044;0,081715203
98;Jamón cocido no artesanal;Ottonello;1 kg.;175;300;320;395;386,5291203;440;490;23,79478865;10;379,3463;0,018934732;0,061560145
99;Leonesa;La Constancia;1 kg.;14;145;145;195;187,9493088;195;195;12,80741024;10;182,1428571;0,031878558;0,068142896
100;Leonesa;Ottonello;1 kg.;54;207;240;270;269,5121483;300;300;7,853292083;0;261,9479703;0,028876643;0,029138917
101;Leonesa;Schneck;1 kg.;193;230;299;335;333,300438;369;400,4;15,06165908;10;332,1373617;0,003501793;0,045189437
102;Manteca;Calcar;Envase 200 grs.;110;40;42,7;60,5;62,98353961;75;77;5,181826095;7,5;62,98408741;-0,000008697 ;0,082272704
103;Manteca;Conaprole sin sal;Envase 200 grs.;426;54;59;65;67,69623251;75;75;4,756568787;8;67,66740978;0,000425947;0,07026342
104;Manteca;Kasdorf;Envase 200 grs.;286;42;53;59;59,99517987;70;70;3,687314995;6;60,58988696;-0,009815286;0,061460187
